# CR-011 §0: rule statements that were shared verbatim by 10 or more slugs at 16aa79dd8,
# the last commit before the rewrite. Normalised: lowercase, letters and spaces only.
# A rule whose normalised statement is on this list is FILLER regardless of how many
# slugs carry it today — that is what keeps the gate honest after the stamp is gone.
# Regenerate only by re-measuring on a corpus that still has the stamp; never hand-add.
# format: <slug count at 16aa79dd8>	<normalised statement>
20	if preconditions hold and scope is explicit run the methodology end to end and produce the canonical artefact
20	if preconditions in agents md applies if do not all hold or any skip if disqualifier is true do not run this methodology emit a skip record naming the failed precondition and route to the named alternative
187	if preconditions in agents md applies if do not all hold or any skip if disqualifier is true do not run this methodology route to the named alternative
20	if preconditions in agents md applies if do not all hold skip this methodology and route to the correct one do not retro fit inputs
20	if preconditions in applies if all hold and no disqualifier fires the agent must run the methodology end to end and produce the artefact specified in output contract xml
20	if preconditions in applies if are not all true do not run this methodology return early with reason
19	if preconditions in applies if are not all true skip this methodology and route to the adjacent one referenced in related
20	if preconditions in applies if do not all hold or any disqualifier in skip if fires the agent must skip this methodology and document the skip reason in the cycle artefact
20	if the applies if preconditions fail or any skip if condition triggers do not apply this methodology emit a skip record naming the failed precondition triggered skip and route the task to the correct methodology or to no methodology at all
20	if the applies if preconditions in agents md do not all hold or any skip if trigger fires the agent must skip this methodology and pick a different one applying the rules here on a mismatched input produces wrong output
20	if the input fails all applies if preconditions or matches any skip if disqualifier do not apply this methodology route the task to the adjacent sibling instead
13	if the preconditions in applies if fail or any of the skip if conditions is true return skipped and apply no further rules
19	if the skip if preconditions hold the methodology must be skipped and the caller routed to the linked alternative
33	output carries semver style version and last reviewed date stale records days no review are flagged on read
76	output carries semver style version and last reviewed date stale records days no review must be flagged on read
17	output carries semver style version and last reviewed date stale records over days no review must be flagged on read
20	output carries semver version and last reviewed iso date records older than days without review must be flagged on read
19	output shape is fixed by content output contract xml json schema free form output is rejected at review
14	output shape is fixed template schema or artefact path free form output is rejected at review
11	produce the spec artefact required by this methodology with every required field of the json schema in output contract xml populated and non null
20	routing conclusion at least one skip if predicate holds or applies if preconditions are not all satisfied hand off to the named upstream fallback methodology or stop
20	routing conclusion preconditions are satisfied applies if all hold skip if none holds proceed to procedure output contract
40	run the full procedure emit an artefact passing the output contract
40	skip surface the missing precondition do not synthesize
54	skip this methodology when the applies if preconditions are not met or any skip if disqualifier holds
20	skip this methodology when the decision tree resolves to a skip branch preconditions are not met or an adjacent methodology fits better
20	skip this methodology when the preconditions in applies if are not all true or any item in skip if holds the decision tree routes to this rule on those branches
18	skip when the input does not satisfy the applies if preconditions or another methodology owns this output shape
17	stub rule for conclusion r advanced referenced from decision tree xml replace with the real testable rule that resolves this branch of the tree
17	stub rule for conclusion r default high referenced from decision tree xml replace with the real testable rule that resolves this branch of the tree
17	stub rule for conclusion r default low referenced from decision tree xml replace with the real testable rule that resolves this branch of the tree
18	stub rule for conclusion skip methodology referenced from decision tree xml replace with the real testable rule that resolves this branch of the tree
32	the methodology fires on a named trigger event threshold schedule vague triggers when needed are rejected
32	the methodology is reviewed against outcomes at a published cadence monthly or quarterly methodologies that produce no measurable change are deprecated
115	the output names a single accountable owner handle email or org role no team or we as owner
20	the output names a single accountable owner handle email or org role no team we us or engineering as the owner value
17	the output names a single accountable owner handle email or org role with rotation no team or we as owner
20	the producing agent must emit an artefact validating against content output contract xml s json schema any field outside the schema is rejected
20	the rationale field cites at least one input artefact by name the inputs used list is non empty unless decision no op
18	the template is versioned semver each filled instance records the template version it used so downstream consumers can re parse legacy artefacts
20	update the existing artefact in place bump version refresh last reviewed
20	when preconditions fail or skip conditions hold exit without producing the artefact and document why
20	when preconditions hold run the full procedure end to end and emit the output artefact
160	when preconditions in applies if fail or any item in skip if triggers do not run this methodology document the skip rationale in the artefact s parent log
26	when preconditions in applies if hold and no skip if trigger applies walk the procedure end to end and run the validator before declaring done
20	when the decision tree resolves to skip this methodology halt authoring do not emit a partial artefact and do not proceed downstream with this methodology s outputs
