# faion UA->EN query lexicon - corpus data, not code.
# Format: ua_prefix<TAB>en_terms<TAB>src   (LF, no BOM, byte-sorted, NFC)
# ua_prefix is ONE lowercase Ukrainian token with its inflectional tail
# removed; the runtime does longest-prefix matching, so `kesh` covers
# kesh/keshu/keshem/keshuvannia. No stemmer is needed - one measured zero gain.
# src is provenance, re-derived by scripts/validate-lexicon.py:
#   taxonomy  ua_prefix is a prefix of a Ukrainian trigger word in
#             skills/faion/playbooks/taxonomy.xml
#   domains   every en term attested in skills/faion/knowledge/domains.xml
#   tags      every en term attested in meta.json tags
#   title     every en term attested in corpus slugs, paths, AGENTS.md titles
#   observed  at least one en term attested only in corpus body prose
#             (capped at 20% of the file)
# Expansion BOOSTS candidates; it never filters them.
зламан	broken incident failure fix-incident	taxonomy
злитт	merge pull-request branch	title
змін	change change-control governance	title
знанн	knowledge kb documentation	domains
значущ	significance statistics confidence	tags
зображенн	image vision multimodal	title
зростанн	growth acquisition retention	tags
зручн	usability ux heuristic	domains
зупин	stop shutdown kill-switch	tags
зустріч	meeting facilitation standup	tags
зчеплен	coupling cohesion modularity	observed
кампан	campaign launch ads	title
канал	channels channel distribution	tags
канар	canary rollout deployment	tags
канбан	kanban agile board	tags
кафк	kafka streaming events	tags
квартал	quarterly okr planning	taxonomy
квот	quota rate-limiting limits	tags
кеш	caching cache redis	tags
класифікац	classification classifier labeling	observed
клаудфлер	cloudflare cdn dns	tags
клод	claude claude-code anthropic	tags
клієнт	customer client account	title
когнітивн	cognitive walkthrough usability	tags
когорт	cohort retention analytics	tags
колір	color palette theming	observed
команд	command team commands	domains
коментар	comments documentation code	observed
компонент	components component design-system storybook	tags
компроміс	trade-off tradeoff decision	tags
коміт	commit git conventional	title
конвенц	conventions standards style	title
конверс	conversion cro conversion-optimization	tags
конвеєр	pipeline ci workflow	tags
конкурент	competitor competitive-analysis	tags
конкурентн	concurrency async parallelization	tags
конституц	constitution sdd governance	domains
контейнер	docker containers infra	tags
контекст	context context-engineering context-management	tags
контент	content content-marketing editorial	title
контракт	contract contract-first api-design openapi	taxonomy
контрактор	contractor freelance outsource hire-onboard	taxonomy
конфлікт	conflict merge resolution	title
конфіг	config configuration settings	tags
користувач	user users persona	taxonomy
корпус	corpus dataset knowledge	tags
котлін	kotlin android mobile	observed
краще	optimize-tune improvement optimization	taxonomy
критері	criteria acceptance-criteria rubric	title
крок	step steps procedure	observed
крон	cron scheduling automation	tags
кубер	kubernetes helm infra	tags
культур	culture team values	observed
курл	curl http request	observed
ланцюж	chain chain-of-thought reasoning	title
ларавел	laravel php eloquent	tags
лендінг	landing landing-page conversion	title
лог	logging logs observability	tags
локаліз	localization internationalization i18n	tags
людин	hire-onboard hiring team	taxonomy
лід	leads funnel acquire-grow	taxonomy
ліміт	limits rate-limiting throttling	tags
лінеар	linear tracker issues	title
лінт	lint linting ruff	tags
ліценз	license licence legal	tags
макет	mockup prototype design	observed
маршрут	routing router navigation	tags
маршрутизац	routing router orchestration	tags
масштаб	scaling scalability capacity autoscaling	tags
матриц	matrix raci decision-matrix	tags
межа	boundary scope architecture	domains
мереж	networking network vpc nginx	tags
мерж	merge pull-request branch	title
методолог	methodology method practice	domains
метрик	metrics kpi measurement dashboards	tags
мобільн	mobile responsive app	tags
модел	model model-selection llm	tags
модул	modules modularity components	tags
можлив	opportunity opportunity-solution-trees discovery	title
мок	mock mocking stub	observed
моноліт	monolith microservices decomposition	tags
монорепо	monorepo turborepo workspace	tags
моніторинг	monitoring alerting metrics observability	tags
мотивац	motivation retention engagement	observed
мультиагентн	multi-agent orchestration agents	domains
мультимодал	multimodal vision audio	tags
міграц	migration migrations schema	tags
мікросервіс	microservices services decomposition	tags
міркуванн	reasoning chain-of-thought cot	tags
навантажен	load load-balancing capacity	title
навичк	skills skill competency	observed
навчанн	training learning fine-tuning	tags
навігац	navigation information-architecture ux	tags
нагадуванн	reminder cadence scheduling	observed
надійн	reliability resilience sre	tags
найм	hiring hire recruiting onboarding	domains
налагодж	debugging debug troubleshooting	title
налаштув	configuration settings setup	tags
намір	intent goal outcome	title
нарад	meeting facilitation review	tags
наскрізн	e2e end-to-end testing	title
наслідок	consequence trade-off impact	tags
наставник	mentoring coaching onboarding	title
нгінкс	nginx proxy networking	tags
невизначен	uncertainty risk assumptions	tags
нейрон	model neural inference	observed
некст	nextjs react app-router	tags
нов	new greenfield discovery	taxonomy
нода	nodejs node javascript	tags
нотіон	notion documentation knowledge	tags
ніш	niche positioning market	tags
оаус	oauth authentication auth	tags
обліков	account accounts billing	title
обмежен	constraints limits scope	tags
огорож	guardrails safety policy	tags
онбординг	onboarding hiring handoff	domains
оновлен	upgrade update dependency	tags
опитуванн	survey survey-design research	title
оплат	payment billing stripe	title
оптимізац	optimization performance cost-optimization	tags
оркестрац	orchestration workflow multi-agent	tags
офер	offer negotiation hiring	domains
оцінк	estimation scoring assessment	tags
оцінюванн	evaluation eval rubric scoring	tags
очищ	cleanup gc sweep	observed
падінн	failure crash incident	title
пайплайн	pipeline ci cd	domains
пайтест	pytest testing python	tags
пайтон	python pytest django	tags
пакет	package packaging dependency	title
пам	memory caching profiling	tags
паралел	parallelization concurrency async	tags
пароль	password credentials auth	tags
парсер	parser parsing extraction	observed
патерн	patterns pattern design-patterns	tags
перевір	validate validation discover-validate	taxonomy
перевірк	validation check verification	tags
передач	handoff handover transfer	observed
перезапуск	restart recovery autoheal	observed
перейти	migrate-rebuild migration cutover	taxonomy
переклад	translation localization i18n	title
перемовин	negotiation deal communication	title
перенес	migration cutover migrate-rebuild	title
переход	migration cutover migrate-rebuild	title
персон	persona personas user-research	tags
персональн	pii privacy gdpr	tags
плагін	plugin plugins claude-code	tags
план	plan planning roadmap plan-design	taxonomy
планувальник	planner planning agents	domains
плейбук	playbook guide procedure	observed
плейврайт	playwright e2e testing	tags
повтор	retry retries idempotency	observed
погодж	approval sign-off alignment	tags
подкаст	podcast content audio	tags
подорож	journey mapping ux	title
подій	events event-sourcing streaming	tags
подія	event event-sourcing events	title
позиціонув	positioning brand messaging	tags
покращ	optimize-tune improvement optimization	title
покритт	coverage testing tests	title
полагод	fix incident fix-incident	taxonomy
поламан	broken incident failure fix-incident	observed
політик	policy governance rules	title
помилк	error errors error-handling failure	title
порівнянн	comparison matrix evaluation	tags
постачальник	vendor provider procurement	tags
постгрес	postgres sql database	tags
постмортем	postmortem incident retro	tags
потужн	capacity scaling capacity-planning	tags
потік	thread concurrency streaming	title
пошук	search retrieval hybrid-search	tags
правил	rules rule policy	title
практик	practice best-practices patterns	tags
прапорц	feature-flags flags rollout	title
приватн	privacy pii consent	tags
прийманн	acceptance acceptance-criteria uat	tags
приклад	example examples worked	observed
припин	kill deprecation shutdown	tags
припущенн	assumptions risk validation	tags
провайдер	provider vendor api	tags
продаж	sales revenue billing	tags
продакш	production deployment prod	title
продукт	product product-management discovery	tags
продуктивн	performance latency optimization	tags
проект	project project-manager delivery	tags
проксі	proxy gateway nginx	tags
прометей	prometheus metrics monitoring	tags
промпт	prompt prompts prompt-engineering	tags
пропозиц	proposal offer sow	tags
протокол	protocol http grpc	tags
прототип	prototype prototyping design	tags
профіл	profiling performance flamegraph	observed
процес	process bpmn process-mining workflow	tags
проєкт	project project-manager delivery	tags
пріоритет	prioritization prioritisation rice	tags
пулл	pull-request review pr	tags
пупетір	puppeteer e2e browser	tags
пхп	php laravel eloquent	tags
підказк	prompt prompts prompt-engineering	tags
підключенн	connection integration setup	title
підпис	signature signing verification	observed
підписк	subscription billing saas	tags
підрядник	contractor vendor outsource	tags
підтримк	support customer-support helpdesk	observed
пітон	python pytest django	tags
рага	rag retrieval chunking	tags
ранбук	runbook procedure on-call	observed
раст	rust ownership tokio	tags
рахунк	invoice billing payment	title
реакт	react components hooks frontend	domains
реалізац	implementation implementation-plan delivery	domains
рев	code-review review pr-review	tags
регрес	regression testing eval	domains
регулярн	operate-ritual cadence recurring weekly	taxonomy
редіс	redis caching queue	tags
рейлс	rails ruby activerecord	tags
реквест	request pull-request api	title
реклам	ads advertising ppc campaign	observed
рекрут	recruiting hiring hr	domains
релевантн	relevance ranking retrieval	title
реліз	release release-planning rollout	tags
рендер	rendering ssr frontend	observed
реплік	replication replica failover	observed
репозитор	repository repo git	tags
реранк	reranking retrieval hybrid-search	tags
ретра	retry retries backoff	observed
ретро	retro retrospective agile	tags
рефактор	refactor refactoring tech-debt	tags
рефлекс	reflexion reasoning learning	tags
рецензув	review code-review feedback	tags
реєстр	registry artifact repository	observed
реєстрац	registration signup onboarding	observed
ризик	risk risk-management register	tags
ринк	market market-research tam	tags
роадмап	roadmap roadmapping planning	title
робот	work workflow automation	taxonomy
розгорт	deployment deploy rollout release	tags
розкатк	rollout release deployment	tags
розклад	scheduling schedule cron	tags
розмітк	labeling annotation dataset	observed
розсилк	newsletter email drip	tags
розслідув	triage incident investigation	tags
роль	roles rbac permissions	tags
рубрик	rubric scoring evaluation	tags
рубі	ruby rails rspec	tags
рішенн	decision decision-record adr govern-decide	taxonomy
сайт	website site landing	observed
свелт	svelte frontend components	domains
свіфт	swift ios mobile	tags
сдд	sdd spec design test-plan	domains
сегмент	segmentation audience targeting	tags
секрет	secrets secrets-management rotation	title
селері	celery queue jobs	tags
сентрі	sentry monitoring errors	tags
сео	seo search technical-seo	observed
сервер	server backend infrastructure	domains
середовищ	environment staging production	tags
сертифікат	tls certificate https	observed
серіаліз	serialization json encoding	observed
сесі	session state auth	tags
синхроніз	sync synchronization replication	observed
сканув	scan scanning audit	title
складніст	complexity estimation scope	tags
скрам	scrum agile sprint	tags
скрипт	script scripts automation	tags
скіл	skills skill claude-code	domains
слак	slack communication notification	observed
смоук	smoke-test smoke testing	title
снапшот	snapshot golden regression	title
сокет	websocket socket realtime	observed
сортуванн	card-sorting information-architecture research	tags
соцмереж	social smm instagram	tags
спец	specification spec requirements	tags
специфікац	specification spec requirements	tags
спліт	ab-testing split experiment	tags
сповіщен	notification alerting webhook	observed
спостереж	observability monitoring tracing	tags
спринт	sprint sprint-planning scrum	tags
спрінг	spring spring-boot java	title
співбесід	interview structured-interview star hiring	tags
стан	state state-management status	tags
стандарт	standards conventions policy	tags
стар	legacy old deprecation	taxonomy
статистик	statistics significance sample	title
статус	status status-report reporting	tags
стейдж	staging environment deployment	tags
стейкхолдер	stakeholder stakeholder-management	tags
стендап	standup daily agile	tags
стил	styling css theming tailwind	tags
сторібук	storybook components design-system	tags
сторінк	page pages routing	title
страйп	stripe billing payment	title
стратег	strategy product-strategy positioning	tags
структур	structure outline organization	observed
структурован	structured-output schema json-schema	tags
стрімінг	streaming stream realtime	title
стійк	resilience reliability failover	tags
субд	database postgres sql	tags
суддя	judge llm-judge evaluation	tags
сумісніст	compatibility backward migration	observed
схвален	approval sign-off governance	tags
схем	schema schema-design json-schema database	tags
сховищ	storage s3 database	tags
сценарі	scenario use-case journey	tags
таблиц	table schema database	observed
таймаут	timeout retry resilience	observed
тайпскрипт	typescript javascript types	tags
тариф	pricing plans tiers	title
тейлвінд	tailwind css styling	tags
телеграм	telegram bot messaging	observed
тем	theming theme dark	observed
тенант	tenant multi-tenant saas	observed
терафор	terraform iac infrastructure	tags
термін	timeline schedule delivery	observed
тест	testing test tests qa	title
тестув	testing tests qa coverage	title
тижд	weekly cadence sprint	taxonomy
тижн	weekly cadence sprint	domains
типізац	types typing mypy	tags
токен	tokens token context	tags
транзакц	transaction consistency database	title
трасув	traceability requirements matrix	domains
трафік	traffic load bandwidth	observed
трейс	tracing opentelemetry otel observability	tags
трекер	tracker jira linear	tags
троттл	throttling rate-limiting limits	tags
тріаж	triage incident cve	domains
тікет	ticket issue tracker	title
угод	contract agreement sow	tags
узгодж	consistency alignment approval	tags
уразлив	vulnerability cve security	domains
успадкув	inheritance patterns oop	observed
утриманн	retention churn engagement	tags
файл	file files storage	title
файнтюн	fine-tuning training	tags
фасилітац	facilitation workshop meeting	tags
фастапі	fastapi python api	tags
флак	flaky test testing	title
фласк	flask python api	tags
фолбек	fallback resilience degradation	observed
фонов	background jobs async worker	title
форм	form forms validation	tags
формат	formatting format style	title
фронтенд	frontend react components ui	domains
фріланс	freelance freelancer solopreneur	tags
фігм	figma design tools	tags
фідбек	feedback review coaching	title
фікстур	fixtures test testing	tags
фінанс	finance financial budget	tags
фіч	feature feature-flags flags	title
хелм	helm kubernetes charts	observed
хеш	hash hashing checksum	observed
хмар	cloud aws gcp azure	tags
хук	hooks hook claude-code	domains
ціл	goals okr objectives	tags
цін	pricing monetization	tags
чанк	chunking chunks retrieval	observed
чейнджлог	changelog release versioning	tags
чеклист	checklist verification	tags
черг	queue jobs async background	tags
чергуванн	on-call rotation incident	domains
чернетк	draft outline writing	observed
читабельн	readability code-quality style	observed
шаблон	template templates skeleton	tags
шар	layered layer architecture	title
шардув	sharding partitioning scaling	observed
шарп	csharp dotnet aspnet-core	tags
шифрув	encryption tls crypto	observed
шлюз	gateway api-gateway proxy	tags
шрифт	typography font design	observed
щоден	daily standup cadence	tags
щоденник	diary study research	tags
щотижн	weekly cadence metrics	tags
юзабіліт	usability usability-testing ux	tags
юніт	unit test testing	title
юніті	unity game-dev engine	observed
якіст	quality code-quality quality-gate	tags
ідемпотент	idempotency retry queue	tags
іконк	icons ui design	observed
іменуванн	naming conventions style	title
імпорт	import migration data	title
індекс	indexing index database retrieval	tags
інкапсуляц	encapsulation design patterns	observed
інструкц	instructions procedure runbook	observed
інструмент	tools tooling tool-use	tags
інтеграц	integration integrations api	tags
інтеграційн	integration testing e2e	tags
інтерв	interview interviews user-interviews	title
інтерфейс	ui interface frontend components	title
інференс	inference serving latency	tags
інфра	infra infrastructure devops	domains
інцидент	incident incident-response postmortem	tags
історі	story user-story mapping	title
ітерац	iteration sprint agile	tags
