tier,group,domain,skill_path,description
geek,dev,software-developer,,"Full-stack development patterns for building with AI assistance and agentic systems. Covers CLAUDE.md setup for effective AI collaboration, project structure conventions, and workflows optimized for Claude Code. Includes best practices for documenting constraints, maintaining code quality through hooks, and designing systems that work well with AI pair programming. Apply when building new projects from scratch or migrating existing codebases to AI-first development."
geek,infra,server-craft,,"Infrastructure automation and Claude Code hooks for VPS and workstation environments. Covers user-defined scripts that execute at specific Claude Code events (PreToolUse, PostToolUse, UserPromptSubmit, etc.), enabling automation of formatting, testing, and deployment validation. Includes common patterns for saving tmux sessions, auto-staging git changes, and enforcing pre-commit validation. Essential for developers managing infrastructure via Claude Code who want to automate quality checks and enforce conventions."
geek,marketing,content-marketer,,"Strategic content creation using AI collaboration tools in 2026. Addresses the challenge of standing out amid AI-generated content flood by combining AI capabilities with human editorial strategy. Covers building an effective content stack, defining content strategy that leverages AI assistance, and maintaining authenticity while using generative tools. Use when creating content-driven products or scaling content production while preserving quality and brand voice."
geek,marketing,growth-marketer,,"Growth marketing strategies adapted for agentic AI and autonomous search behavior. Covers how AI agents handle search, task completion, and provider selection differently than traditional search engines. Addresses fundamental shifts in marketing when 50%+ of searches are handled by AI assistants rather than human users. Includes tactics for optimizing visibility to AI agents, designing AI-friendly content, and rethinking customer acquisition in an agentic world."
geek,marketing,seo-manager,,"Technical SEO optimization for AI crawlers and LLM systems. Extends traditional SEO by addressing AI-specific requirements like llms.txt files and AI-friendly information architecture. Covers how AI crawlers differ from Google bots and what optimization strategies work for LLM discovery. Apply when competing for visibility in AI search interfaces, AI agent recommendations, and LLM-powered applications."
geek,pm,pm-agile,,"Agile project management enhanced with AI tools and agent assistance. Covers AI features in tools like Jira, Monday.com, and specialized PM platforms that provide work breakdown suggestions, risk prediction, and AI-generated workflows from natural language prompts. Includes strategies for using AI to accelerate sprint planning, generate subtasks from epics, and predict project risks. Use when scaling agile practices or seeking AI-driven insights into project health."
geek,pm,project-manager,,"Project management fundamentals adapted for AI-assisted execution. Covers tool selection for AI-enhanced PM, understanding AI capabilities for different PM tasks, and designing workflows that leverage AI agents for planning and execution. Includes agent selection guidance for analysis, planning, and implementation phases. Apply when adopting AI PM tools or restructuring PM processes to take advantage of agentic systems."
geek,product,product-manager,,"Product development strategies for agentic AI systems and autonomous features. Addresses the shift from reactive AI features to autonomous systems that act independently. Covers how to design products where AI agents operate autonomously, define decision boundaries, and maintain human oversight of critical functions. Use when building products that incorporate autonomous agents or planning products that will evolve to be agent-native."
geek,product,product-operations,,"Product operations and governance in agentic AI environments. Covers resource planning, analytics, and operational processes adapted for autonomous agent-based products. Includes frameworks for managing complexity of agentic systems, tracking agent performance, and optimizing product economics. Apply when scaling products with autonomous components or managing multi-agent systems."
geek,research,market-researcher,,"Market sizing and research methodologies enhanced with AI assistance. Covers AI-assisted TAM/SAM/SOM estimation using top-down and bottom-up triangulation, AI tools for data collection, and validation techniques. Addresses common pitfalls in market estimates and how AI can improve rigor through structured analysis. Use when sizing markets, validating business assumptions, or conducting competitive analysis."
geek,research,researcher,,"General research methodologies and frameworks with AI acceleration. Covers market sizing with AI tools, literature review acceleration, competitive analysis, and insight synthesis from disparate sources. Addresses how to maintain research rigor while leveraging AI for data collection and preliminary analysis. Apply for any research task requiring both speed and accuracy, from customer discovery to market analysis."
geek,sdd,sdd,,"AI-assisted specification writing for better implementation outcomes. Addresses slow and inconsistent specification practices by using LLMs as intelligent collaborators to structure intent, identify edge cases, and maintain format consistency. Emphasizes that specification quality directly correlates with AI-generated code quality. Use when starting any software development project to ensure clear requirements and reduce implementation delays."
geek,sdd,sdd-planning,,"Specification planning and structured documentation with AI assistance. Covers planning the specification process, identifying information needs, and organizing specification artifacts. Addresses common challenges like ambiguous requirements, inconsistent formats, and specs that become outdated. Apply when establishing documentation standards or improving specification practices in teams."
geek,ux,accessibility-specialist,,"Accessibility testing and compliance using AI-powered tools. Covers AI-powered accessibility audits that scale beyond manual testing, reduce false positives, and provide actionable remediation guidance. Includes tools for continuous accessibility validation in deployment pipelines. Use when improving accessibility at scale or integrating accessibility checks into continuous deployment processes."
geek,ux,ui-designer,,"UI design workflows with generative AI tools and Figma AI capabilities. Covers Figma Make for AI-powered prototyping, generative vector graphics, and AI-assisted design-to-code workflows. Includes strategies for using AI to accelerate design iteration and code generation. Apply when building design systems, prototyping features quickly, or scaling UI production."
geek,ux,user-researcher,,"User research acceleration with AI-generated synthetic participants and interview analysis. Covers limitations and use cases for synthetic research, AI tools for analyzing research transcripts, and combining synthetic and real user insights. Addresses how to validate synthetic findings with real users and when synthetic research is appropriate. Use for rapid early-stage validation or interview analysis at scale."
geek,ux,ux-ui-designer,,"Integrated UX/UI design with AI assistance and full-stack design thinking. Covers end-to-end product design from research to prototyping using AI tools, multimodal AI for interactive design, and accessibility-first AI-assisted design. Includes frameworks for designing experiences that work across interfaces and interaction modalities. Apply when designing comprehensive user experiences or building products with voice and multimodal interfaces."
pro,ba,ba-core,skills/faion-knowledge/knowledge/pro/ba/ba-core/SKILL.md,"Core business analysis practices including BA planning and stakeholder analysis, requirements elicitation techniques, requirements lifecycle management (traceability, prioritization, validation), strategy analysis (current/future state, gap analysis), solution evaluation, and modern practices (agile frameworks, AI-enabled BA, data-driven requirements)."
pro,ba,ba-modeling,skills/faion-knowledge/knowledge/pro/ba/ba-modeling/SKILL.md,"Requirements analysis and design modeling techniques: use case modeling, user story mapping for agile development, business process analysis with BPMN, data modeling and ERD, decision tables and business rules, system interface requirements, and acceptance criteria. Covers both traditional and agile modeling approaches."
pro,ba,business-analyst,skills/faion-knowledge/knowledge/pro/ba/business-analyst/SKILL.md,"Orchestrator for business analysis coordinating two sub-skills: ba-core (planning, elicitation, requirements, strategy, evaluation) and ba-modeling (use cases, processes, data, decisions, interfaces, acceptance criteria). Covers 6 BABOK knowledge areas and 28 total methodologies for full business analysis practice."
pro,comms,hr-recruiter,skills/faion-knowledge/knowledge/pro/comms/hr-recruiter/SKILL.md,"Orchestrates HR and recruiting from talent acquisition through onboarding and retention. Covers recruitment funnel optimization, structured interviewing with STAR framework, job description writing, employer branding and EVP development, onboarding with 30-60-90 day plans, and retention/DEI compliance."
pro,dev,backend-enterprise,skills/faion-knowledge/knowledge/pro/dev/backend-enterprise/SKILL.md,"Enterprise web backend development in Java Spring Boot, C# ASP.NET Core, PHP Laravel, and Ruby on Rails. Covers framework-specific patterns, ORM design (JPA/EF/Eloquent/ActiveRecord), testing frameworks, background job processing, and enterprise application architecture patterns."
pro,dev,backend-systems,skills/faion-knowledge/knowledge/pro/dev/backend-systems/SKILL.md,"Systems-level backend development in Go and Rust with focus on performance, concurrency, and infrastructure. Includes microservices with HTTP APIs and gRPC, goroutine/async concurrency patterns, error handling, database design and SQL optimization, caching strategies, and message queue patterns."
pro,dev,code-quality,,"Domain-Driven Design for maintainable enterprise software architecture. Covers focusing on core business domain, establishing shared language between technical and domain experts, and designing systems that reflect business logic clearly. Essential for large-scale enterprise applications with complex business rules and evolving requirements. Use when building systems with non-trivial business logic or managing technical complexity in large teams."
pro,dev,software-architect,,"Enterprise system architecture patterns and infrastructure design. Covers service mesh architecture, service discovery, load balancing, and zero-trust security through mutual TLS. Includes design patterns for large distributed systems, microservices topology, and infrastructure-as-code approaches. Apply when architecting complex systems with multiple services or designing for high-scale enterprise deployments."
pro,dev,software-developer,,"Enterprise Java development with Spring Boot and layered architecture. Covers project setup, layered architecture patterns, dependency injection, REST API design, and Spring ecosystem best practices. Includes frameworks for robust, testable, and maintainable Java applications. Use when building enterprise applications, microservices, or REST APIs that require strong architectural foundations."
pro,infra,cicd-engineer,skills/faion-knowledge/knowledge/pro/infra/cicd-engineer/SKILL.md,"CI/CD pipeline management covering GitHub Actions, GitLab CI, Jenkins, and GitOps with ArgoCD. Includes observability (Prometheus, Grafana, ELK Stack, AIOps), security (secrets management, SSL/TLS, security as code, nginx, load balancing), backup strategies, FinOps cost optimization, and DORA metrics."
pro,infra,devops-engineer,skills/faion-knowledge/knowledge/pro/infra/devops-engineer/SKILL.md,"DevOps orchestrator coordinating infrastructure and CI/CD. Manages containerization with Docker, container orchestration (Kubernetes, Helm), infrastructure provisioning (Terraform, IaC), cloud platforms (AWS, GCP), CI/CD pipelines, monitoring, and operational excellence. Covers 58 total methodologies."
pro,infra,infrastructure-engineer,skills/faion-knowledge/knowledge/pro/infra/infrastructure-engineer/SKILL.md,"Infrastructure provisioning and management: Docker containerization and Compose, Kubernetes deployments and Helm charts, Terraform and infrastructure-as-code patterns, AWS cloud services (EC2, ECS, Lambda, S3, networking), and GCP (Compute, Cloud Run, storage, networking). Handles modern infrastructure automation."
pro,marketing,conversion-optimizer,skills/faion-knowledge/knowledge/pro/marketing/conversion-optimizer/SKILL.md,"Conversion rate optimization specializing in landing page design, CRO tactics, funnel analysis and optimization, free trial conversion, and product-led growth mechanics. Covers funnel frameworks, landing page psychology, A/B testing for conversions, PLG implementation, and onboarding flow design."
pro,marketing,growth-marketer,skills/faion-knowledge/knowledge/pro/marketing/growth-marketer/SKILL.md,"Data-driven growth marketing with focus on experimentation and metrics. Covers AARRR framework (Acquisition, Activation, Retention, Revenue, Referral), analytics setup (Google Analytics, Plausible), A/B and multivariate testing, cohort analysis, viral loops and referral mechanics, retention strategies, and growth operations automation."
pro,marketing,gtm-strategist,skills/faion-knowledge/knowledge/pro/marketing/gtm-strategist/SKILL.md,"Go-to-market strategy, product launches, and market positioning. Covers GTM planning, market positioning, pricing models, press coverage, partnership development, and customer success operations. Includes frameworks for product launches, competitive positioning, and revenue operations. Apply when planning product launches, entering new markets, building partnership ecosystems, or scaling customer success."
pro,marketing,ppc-manager,skills/faion-knowledge/knowledge/pro/marketing/ppc-manager/SKILL.md,"PPC Manager handles paid advertising campaigns across Google Ads, Meta Ads, LinkedIn, and other platforms. It covers campaign setup, audience targeting, ad creative optimization, bidding strategy, conversion tracking, and performance analysis. Use this domain when launching paid acquisition campaigns, optimizing ad spend, managing multiple ad platforms, or analyzing return on ad spend (ROAS). Core skills include understanding platform-specific mechanics, keyword research, audience segmentation, and attribution modeling across channels."
pro,marketing,smm-manager,skills/faion-knowledge/knowledge/pro/marketing/smm-manager/SKILL.md,"SMM Manager orchestrates organic social media activities across platforms like Twitter, LinkedIn, Instagram, and Threads. It covers content strategy, community building, audience growth tactics, engagement optimization, and organic reach maximization. Use this domain when developing social media presence, launching platforms, building communities, or growing followers organically. Core skills include understanding platform algorithms, content calendars, community moderation, and engagement metrics."
pro,pm,pm-agile,skills/faion-knowledge/knowledge/pro/pm/pm-agile/SKILL.md,"Agile PM specialist covers Scrum and Kanban methodologies, ceremonies (standups, planning, retros), PM tools (Jira, Linear, ClickUp, GitHub Projects), dashboards and reporting, team development, and hybrid delivery approaches. Use this when managing agile sprints, selecting PM tooling, implementing ceremonies, building dashboards, scaling across teams, or blending agile with waterfall practices. Includes 28 methodologies across tools, frameworks, and team management."
pro,pm,pm-traditional,skills/faion-knowledge/knowledge/pro/pm/pm-traditional/SKILL.md,"Traditional PM specialist covers PMBoK knowledge areas including stakeholder management, scope planning, schedule development, cost estimation, risk management, quality assurance, earned value management, and project closure. Use this for projects with fixed scope, detailed upfront planning requirements, large team coordination, compliance needs, or when applying PMBoK 7/8 frameworks. Includes 22 methodologies across planning, execution, monitoring, and closure."
pro,pm,project-manager,skills/faion-knowledge/knowledge/pro/pm/project-manager/SKILL.md,"Project Manager orchestrator coordinates both agile and traditional PM approaches, routing tasks to appropriate sub-skills. Use this as entry point for any PM need—it identifies whether your situation calls for Scrum ceremonies, waterfall planning, EVM tracking, team development, or hybrid approaches. Includes 50 combined methodologies across agile and traditional domains with integrated decision framework."
pro,product,product-manager,skills/faion-knowledge/knowledge/pro/product/product-manager/SKILL.md,"Product Manager orchestrator covers MVP/MLP planning, feature prioritization (RICE, MoSCoW frameworks), roadmap design, backlog management, product discovery, validation, OKR setting, and launch planning. Use this when defining products, prioritizing features, managing backlogs, planning launches, or iterating based on user feedback. Includes planning sub-skill (17 methodologies) for strategy and operations sub-skill (16 methodologies) for execution."
pro,product,product-operations,,"Product Operations handles day-to-day product management execution—prioritization frameworks, backlog grooming, product analytics, feedback management, technical debt tracking, and stakeholder coordination. Use when managing backlogs, analyzing metrics, collecting user feedback, or optimizing product processes. Focuses on continuous iteration and data-driven decision making."
pro,product,product-planning,,"Product Planning focuses on strategic planning activities including MVP scoping, roadmap design, OKR setting, discovery methods, user story mapping, and launch planning. Use when defining product vision, scoping MVPs, creating roadmaps, or planning product launches. Emphasizes aligning product strategy with business goals and user needs."
pro,research,market-researcher,skills/faion-knowledge/knowledge/pro/research/market-researcher/SKILL.md,"Market Researcher handles market sizing (TAM/SAM/SOM), competitor analysis, competitive intelligence, pricing research, trend analysis, niche evaluation, business model planning, and idea generation. Use when evaluating market opportunities, analyzing competitors, pricing products, validating market size, or assessing niche viability. Includes 22 methodologies grounded in frameworks like Porter's Five Forces and business model canvas."
pro,research,researcher,skills/faion-knowledge/knowledge/pro/research/researcher/SKILL.md,"Researcher orchestrates both market and user research, coordinating market intelligence (TAM, competitors, pricing) with user insights (personas, pain points, validation). Use as entry point for any research need—it routes to market researcher for business intelligence or user researcher for user understanding. Includes 43 combined methodologies with integrated research workflows."
pro,ux,accessibility-specialist,skills/faion-knowledge/knowledge/pro/ux/accessibility-specialist/SKILL.md,"Accessibility Specialist ensures digital products meet WCAG 2.2 and ADA compliance standards. It covers accessibility audits, assistive technology testing (screen readers, magnifiers, voice control), VPAT creation, heuristic evaluation, cognitive accessibility, and inclusive design practices. Use when conducting compliance audits, testing with assistive tech, meeting legal requirements, or designing for inclusion. Includes 22 methodologies across standards, testing, and design approaches."
pro,ux,ui-designer,,"UI Designer handles visual and interactive design—wireframing, prototyping, design systems, design tokens, component libraries, Figma workflows, voice UI design, and spatial computing. Use when creating interfaces, building design systems, designing for voice or AR/VR, or implementing visual designs. Focuses on practical implementation patterns and design system thinking."
pro,ux,user-researcher,skills/faion-knowledge/knowledge/pro/ux/user-researcher/SKILL.md,"User Researcher conducts user-centered research including interviews, usability testing, persona development, journey mapping, heuristic evaluation, surveys, and competitive UX analysis. Use when validating design decisions, understanding user behavior, testing prototypes, or gathering insights for product direction. Includes 30 methodologies covering qualitative and quantitative research."
pro,ux,ux-researcher,skills/faion-knowledge/knowledge/pro/ux/ux-researcher/SKILL.md,"UX Researcher executes user research activities—user interviews, usability testing, A/B testing, persona development, journey mapping, contextual inquiry, and diary studies. Use when validating user needs, testing interfaces, measuring usability, or understanding user workflows. Focuses on practical research execution and synthesis methods."
pro,ux,ux-ui-designer,skills/faion-knowledge/knowledge/pro/ux/ux-ui-designer/SKILL.md,"UX/UI Designer orchestrates design activities by coordinating research, visual design, and accessibility. It routes to specialized sub-skills for user research, interface design, or accessibility audits. Use as entry point for design work—it identifies whether you need discovery research, visual design, usability testing, or compliance validation. Includes 82 combined methodologies."
solo,comms,communicator,skills/faion-knowledge/knowledge/solo/comms/communicator/SKILL.md,"Communicator provides universal communication methodologies for stakeholder dialogue, customer validation, requirements gathering, conflict resolution, feedback delivery, pitching ideas, storytelling, negotiation, and brainstorming. Use for any communication challenge—validating business ideas with customers, gathering requirements, resolving team conflicts, pitching to stakeholders, or facilitating ideation. Includes 10 frameworks like Mom Test, RASA listening, and Pyramid Principle."
solo,dev,api-developer,skills/faion-knowledge/knowledge/solo/dev/api-developer/SKILL.md,"API Developer handles API design and implementation—REST design principles, GraphQL APIs, OpenAPI specifications, authentication patterns (OAuth, JWT, API keys), versioning strategies, rate limiting, error handling, testing, and real-time APIs (WebSockets). Use when designing APIs, documenting specifications, implementing authentication, versioning endpoints, or building GraphQL schemas. Includes 19 methodologies with context-aware decision trees."
solo,dev,automation-tooling,skills/faion-knowledge/knowledge/solo/dev/automation-tooling/SKILL.md,"Automation & Tooling specialist covers browser automation (Puppeteer, Playwright), CI/CD pipelines, monorepo management (Turborepo, pnpm), performance testing, feature flags, trunk-based development, and logging patterns. Use when automating tests, building CI/CD pipelines, managing monorepos, implementing feature flags, or setting up performance testing. Includes 23 methodologies across automation and developer tooling."
solo,dev,code-quality,,"Code Quality focuses on code standards, linting, testing practices, architecture patterns, refactoring, and technical debt management. Use when establishing code standards, improving test coverage, reducing technical debt, or ensuring code maintainability. Provides frameworks for measuring and improving code quality metrics."
solo,dev,frontend-developer,skills/faion-knowledge/knowledge/solo/dev/frontend-developer/SKILL.md,"Frontend Developer handles frontend styling and design systems—Tailwind CSS, CSS-in-JS, design tokens, UI component libraries (shadcn/ui), Storybook, PWA development, responsive design, and accessibility. Use when building UI components, implementing design systems, styling applications, or creating design tokens. Includes 18 methodologies grounded in modern frontend practices."
solo,dev,javascript-developer,,"JavaScript Developer specializes in JavaScript/TypeScript development for web applications including React, Vue, Next.js, Node.js, and related ecosystems. Use when developing frontend or full-stack applications with JavaScript. Covers framework patterns, async programming, testing, and build tooling."
solo,dev,python-developer,,"Python Developer specializes in Python development including Django, FastAPI, data science, and backend applications. Use when building Python applications, APIs, or data pipelines. Covers framework patterns, async programming, database integration, and testing."
solo,dev,software-architect,skills/faion-knowledge/knowledge/solo/dev/software-architect/SKILL.md,"Software Architect makes informed architecture decisions balancing quality attributes (scalability, performance, security, maintainability) with business constraints. It covers system design, technology selection, architecture styles (monolith, microservices, serverless), design patterns, data modeling, distributed systems, and ADRs. Use when designing new systems, selecting technology, documenting decisions, or evaluating architectural trade-offs. Includes 30+ methodologies with comprehensive decision frameworks and case studies."
solo,dev,software-developer,,"Software Developer is the orchestrator for development work, routing to specialized sub-skills. Use as entry point for any development task—it identifies whether you need API design, frontend work, architecture decisions, automation setup, or code quality improvements. Integrates knowledge across programming languages, frameworks, and development practices."
solo,dev,testing-developer,,"Testing Developer covers testing methodologies including unit testing, integration testing, e2e testing, performance testing, contract testing, mutation testing, and test automation. Use when designing test strategies, writing test suites, ensuring code coverage, or validating system behavior. Focuses on testing frameworks, test data strategy, and continuous testing practices."
solo,infra,cicd-engineer,,"CI/CD pipeline engineering for automated build, test, and deployment workflows. This domain covers GitHub Actions, GitLab CI, Jenkins, and other automation platforms, helping teams move code from development to production reliably and at scale. Use this when you need to design build pipelines, set up automated testing, implement deployment automation, create rollback strategies, or manage multi-environment deployments across infrastructure."
solo,infra,devops-engineer,,"DevOps practices bridging development and operations with infrastructure automation and deployment excellence. Covers containerization, orchestration, infrastructure-as-code, monitoring, logging, and operational tooling to enable fast, reliable releases. Use this when building deployment pipelines, managing cloud infrastructure, setting up monitoring and alerting, handling production incidents, or scaling systems for reliability."
solo,infra,infrastructure-engineer,,"Infrastructure architecture and cloud platform engineering for scalable, resilient systems. Covers AWS, GCP, Azure, Kubernetes, Terraform, networking, security, and capacity planning. Use this when designing cloud infrastructure, selecting services and tools, planning disaster recovery, managing multi-region deployments, optimizing cloud costs, or building self-healing infrastructure."
solo,infra,server-craft,skills/faion-knowledge/knowledge/solo/infra/server-craft/SKILL.md,"Server configuration, hardening, tuning, and developer experience for Linux VPS and dedicated servers. Covers SSH hardening, firewall management, kernel tuning, nginx reverse proxy, SSL/TLS, systemd services, Docker Compose, backup automation, monitoring, deploy scripts, and AI agent development tuning. Use this for single-server setups, multi-project hosting, hardening for production, shell productivity workflows, and bootstrapping new servers from scratch."
solo,marketing,content-marketer,skills/faion-knowledge/knowledge/solo/marketing/content-marketer/SKILL.md,"Content strategy, copywriting, SEO optimization, email marketing, social media, and AI-powered content creation across channels. Covers editorial planning, keyword targeting, long-form content, email sequences, video and podcast production, and tools for scaled content distribution. Use this when building organic traffic through content, growing email lists, launching social media presence, producing video or podcast, or implementing AI content workflows."
solo,marketing,conversion-optimizer,,"Conversion rate optimization through data-driven testing, user experience improvements, and behavioral psychology. Covers A/B testing, funnel analysis, form optimization, landing page design, checkout flows, and behavioral segmentation. Use this when you need to improve conversion metrics, reduce friction in user flows, increase revenue from existing traffic, or validate hypotheses through experimentation."
solo,marketing,growth-marketer,,"Growth marketing and scaling through rapid experimentation, product-led growth, and data-driven tactics. Covers growth loops, viral mechanics, referral programs, retention optimization, analytics, and channel strategy. Use this when you need sustained growth beyond launch, when building network effects, optimizing unit economics, or balancing acquisition with retention."
solo,marketing,gtm-strategist,,"Go-to-market strategy for product launches and market entry. Covers positioning, messaging, channel selection, pricing strategy, launch sequencing, and competitive positioning. Use this when planning a product launch, entering a new market segment, repositioning an existing product, or coordinating a multi-channel market entry."
solo,marketing,seo-manager,skills/faion-knowledge/knowledge/solo/marketing/seo-manager/SKILL.md,"Search engine optimization covering technical SEO, on-page optimization, link building, and modern AI search adaptation. Covers keyword research, site audits, Core Web Vitals, schema markup, topical authority, Google AI Overviews, and zero-click search optimization. Use this when targeting organic search visibility, improving technical site foundation, building topical authority, optimizing for Google's AI features, or competing for high-value keywords."
solo,marketing,smm-manager,,"Social media marketing and community management across platforms. Covers platform-specific strategies, content calendars, engagement metrics, influencer collaboration, and paid social advertising. Use this when building social presence, engaging communities, launching viral content, managing multiple platforms simultaneously, or analyzing social performance."
solo,pm,pm-agile,,"Agile project management using Scrum, Kanban, and iterative frameworks for software development teams. Covers sprint planning, backlog grooming, velocity tracking, retrospectives, and continuous improvement. Use this when managing engineering teams with iterative delivery, when you need transparent progress tracking, or when coordinating work across distributed teams."
solo,pm,project-manager,,"Project management covering planning, scheduling, resource coordination, risk management, and stakeholder communication. Covers traditional waterfall, hybrid, and adaptive project approaches, budget tracking, milestone management, and team coordination. Use this when managing complex projects with dependencies, fixed scopes or timelines, multiple stakeholders, or critical success paths."
